N;res_wide;res_narrow;error_wide;error_narrow
23100;0,951590882868141;0,951833766233766;0,007489219967915;0,007746370784492
23600;0,954087579312671;0,951925423728814;0,010132577316836;0,007843412422713
24100;0,953656821477967;0,950698755186722;0,009676515911989;0,006544686935867
24600;0,954824409238983;0,950985365853658;0,010912690095420;0,006848133682221
25100;0,955558143465497;0,951490039840638;0,011689525326655;0,007382453220831
25600;0,958162070877498;0,952368750000000;0,014446412602900;0,008312780558947
26100;0,962528709108004;0,951944827586207;0,019069555829615;0,007863956101201
26600;0,963441743510485;0,951374436090226;0,020036223685013;0,007260058676679
27100;0,963603585798113;0,950718819188192;0,020207572909829;0,006565929536605
27600;0,968338831170067;0,950921739130435;0,025220975993060;0,006780769398994
28100;0,962872041379496;0,949580071174377;0,019433056120152;0,005360289204364
28600;0,963035355262721;0,950097902097902;0,019605963385009;0,005908538544086
29100;0,961856680908721;0,949113402061856;0,018358051360119;0,004866207021966
29600;0,959732475017188;0,949037837837838;0,016109065398567;0,004786204005456
30100;0,957032851649959;0,948964784053156;0,013250860796753;0,004708858896471
30600;0,956645469297508;0,948329411764706;0,012840722836074;0,004036163578762
31100;0,955645325222949;0,948501607717042;0,011781828313572;0,004218474663099
31600;0,950677218384453;0,948212658227848;0,006521885019088;0,003912551707426
32100;0,951618416529865;0,948471028037383;0,007518371011576;0,004186098672365
32600;0,949250268244284;0,948456441717791;0,005011112995592;0,004170655523411
33100;0,949890866418992;0,948616314199396;0,005689341178489;0,004339919231886
33600;0,949065652749959;0,948728571428571;0,004815652820720;0,004458770673503
34100;0,946839105764035;0,948753079178886;0,002458314045774;0,004484718057711
34600;0,946081842788543;0,947819653179191;0,001656567940147;0,003496460762206
35100;0,950885832863634;0,948225641025641;0,006742753926818;0,003926297140529
35600;0,953916317157683;0,948741573033708;0,009951254882958;0,004472536018729
36100;0,953092497084308;0,948405540166205;0,009079041983421;0,004116763913659
36600;0,954681874925369;0,948826229508197;0,010761783033334;0,004562165382549
37100;0,954918151482978;0,948730997304582;0,011011938944879;0,004461339050285
37600;0,955665278980810;0,948829787234042;0,011802954194772;0,004565932096272
38100;0,955627274316888;0,948434645669291;0,011762717061463;0,004147579131762
38600;0,955842123036876;0,948721243523316;0,011990186421677;0,004451012312549
39100;0,955056884991135;0,948926854219949;0,011158821934653;0,004668700989581
39600;0,954782493156398;0,948436363636364;0,010868311778953;0,004149398015630
40100;0,955969627694847;0,948317206982544;0,012125180956318;0,004023241863473
40600;0,951380447024959;0,948023645320197;0,007266422705649;0,003712435806442
41100;0,949504956772952;0,948297810218978;0,005280762433918;0,004002705695518
41600;0,950479012715944;0,948357692307692;0,006312036356229;0,004066105376972
42100;0,952815509508985;0,948587173396675;0,008785783608182;0,004309066640577
42600;0,954184282343973;0,948642253521127;0,010234960876126;0,004367382280858
43100;0,951912151510400;0,948829698375870;0,007829360567848;0,004565838018394
43600;0,949915118538950;0,949442201834862;0,005715017916107;0,005214321146215
44100;0,950388392335673;0,949910204081633;0,006216092754965;0,005709814773813
44600;0,951069039723389;0,950238565022422;0,006936722721129;0,006057464287968
45100;0,952596868850180;0,950655432372505;0,008554299563139;0,006498819253560
45600;0,953664783480551;0,950589473684210;0,009684945618407;0,006428986021005
46100;0,955974886854948;0,950587418655098;0,012130749049921;0,006426810275404
